episode,policy,reward,total_power_system,total_power_ue,total_power_uav,violations,vio_local,vio_offload
373,MAFRL,0.041523,0.90972,0.908129,0.001592,3,2,1
374,MAFRL,0.06621,1.011725,1.010187,0.001538,1,0,1
375,MAFRL,0.071407,0.901871,0.900264,0.001607,1,1,0
376,MAFRL,0.037693,1.154389,1.152856,0.001533,3,1,2
377,MAFRL,0.052079,1.421731,1.42,0.001731,1,0,1
378,MAFRL,0.058135,1.221356,1.22,0.001356,1,0,1
379,MAFRL,0.064392,1.054273,1.05284,0.001433,1,1,0
380,MAFRL,0.065156,1.036057,1.034627,0.00143,1,1,0
381,MAFRL,0.071187,0.905953,0.90462,0.001334,1,0,1
382,MAFRL,0.064092,1.062662,1.06,0.002662,1,0,1
383,MAFRL,0.033416,0.993995,0.992413,0.001582,4,2,2
384,MAFRL,0.08195,1.222569,1.22,0.002569,0,0,0
385,MAFRL,0.033096,1.022476,1.02137,0.001106,4,2,2
386,MAFRL,0.04092,0.945137,0.943615,0.001522,3,1,2
387,MAFRL,0.047778,1.094355,1.09284,0.001515,2,1,1
388,MAFRL,0.058484,1.212166,1.209611,0.002555,1,0,1
389,MAFRL,0.059012,1.196528,1.194363,0.002165,1,0,1
390,MAFRL,0.071451,0.90141,0.899345,0.002066,1,1,0
391,MAFRL,0.059013,1.196234,1.194363,0.00187,1,0,1
392,MAFRL,0.107542,0.931561,0.929679,0.001882,0,0,0
393,MAFRL,0.055551,1.301638,1.3,0.001638,1,0,1
394,MAFRL,0.039629,1.025377,1.023161,0.002216,3,0,3
395,MAFRL,0.049015,1.0418,1.04,0.0018,2,0,2
396,MAFRL,0.05494,1.321641,1.32,0.001641,1,0,1
397,MAFRL,0.058326,1.21588,1.214363,0.001517,1,0,1
398,MAFRL,0.038706,1.085241,1.083426,0.001816,3,1,2
399,MAFRL,0.04956,1.018697,1.017665,0.001033,2,1,1
400,MAFRL,0.060954,1.142179,1.140411,0.001767,1,1,0
401,MAFRL,0.049961,1.003425,1.00137,0.002055,2,2,0
402,MAFRL,0.053808,0.860395,0.858255,0.00214,2,0,2
403,MAFRL,0.037259,0.684956,0.683817,0.001138,4,4,0
404,MAFRL,0.05555,1.301682,1.3,0.001682,1,0,1
405,MAFRL,0.054939,1.322083,1.32,0.002083,1,0,1
406,MAFRL,0.039398,1.039433,1.038032,0.001401,3,2,1
407,MAFRL,0.053344,1.376834,1.374363,0.002471,1,0,1
408,MAFRL,0.047455,1.108706,1.107096,0.00161,2,0,2
